iucn_sid,year,rgn_cat_ts,rgn_cat_ts_score,iucn_rgn,iucn_version
42845,2010,VU,0.4,pan-africa,2017-3
44230,2010,LC,0,eastern_africa,2017-3
44230,2017,NT,0.2,eastern_africa,2017-3
44236,2016,LC,0,pan-africa,2017-3
44236,2017,LC,0,pan-africa,2017-3
44265,2016,CR,0.8,pan-africa,2017-3
44265,2017,CR,0.8,pan-africa,2017-3
44270,2010,VU,0.4,eastern_africa,2017-3
44270,2016,CR,0.8,eastern_africa,2017-3
44270,2017,CR,0.8,eastern_africa,2017-3
44698010,2013,VU,0.4,mediterranean,2017-3
44698010,2016,EN,0.6,mediterranean,2017-3
44698025,2013,EN,0.6,europe,2017-3
44698025,2016,EN,0.6,europe,2017-3
44698046,2014,EN,0.6,europe,2017-3
44698046,2016,EN,0.6,europe,2017-3
44712377,2015,EN,0.6,europe,2017-3
44712377,2016,EN,0.6,europe,2017-3
45463609,2013,LC,0,europe,2017-3
45463609,2016,NT,0.2,europe,2017-3
45466644,2013,LC,0,europe,2017-3
45466644,2016,LC,0,europe,2017-3
45466779,2013,NT,0.2,europe,2017-3
45466779,2016,EN,0.6,europe,2017-3
4632,2007,EN,0.6,pan-africa,2017-3
4632,2017,CR,0.8,pan-africa,2017-3
4633,2007,LC,0,eastern_africa,2017-3
4633,2017,LC,0,eastern_africa,2017-3
47687189,2013,EN,0.6,europe,2017-3
47687189,2016,EN,0.6,europe,2017-3
47687276,2013,VU,0.4,europe,2017-3
47687276,2016,EN,0.6,europe,2017-3
49697894,2013,EN,0.6,europe,2017-3
49697894,2016,EN,0.6,europe,2017-3
504,1994,EN,0.6,europe,2017-3
504,2000,NT,0.2,europe,2017-3
55696211,2014,LC,0,europe,2017-3
55696211,2017,LC,0,europe,2017-3
5710,1994,EN,0.6,europe,2017-3
5710,2017,LC,0,europe,2017-3
59755,1996,CR,0.8,pan-africa,2017-3
59755,2010,LC,0,pan-africa,2017-3
59755,2016,LC,0,pan-africa,2017-3
59769,2006,EN,0.6,pan-africa,2017-3
59769,2010,VU,0.4,pan-africa,2017-3
59774,2006,NT,0.2,mediterranean,2017-3
59774,2014,VU,0.4,mediterranean,2017-3
59779,2006,LC,0,pan-africa,2017-3
59779,2009,LC,0,pan-africa,2017-3
59779,2010,LC,0,pan-africa,2017-3
59779,2016,LC,0,pan-africa,2017-3
59783,2006,LC,0,pan-africa,2017-3
59783,2010,LC,0,pan-africa,2017-3
59786,2006,LC,0,pan-africa,2017-3
59786,2010,LC,0,pan-africa,2017-3
59786,2016,LC,0,pan-africa,2017-3
59788,2006,LC,0,pan-africa,2017-3
59788,2016,LC,0,pan-africa,2017-3
59792,2009,LC,0,pan-africa,2017-3
59792,2016,LC,0,pan-africa,2017-3
59795,2006,LC,0,pan-africa,2017-3
59795,2016,LC,0,pan-africa,2017-3
59796,2006,LC,0,pan-africa,2017-3
59796,2009,LC,0,pan-africa,2017-3
59796,2016,LC,0,pan-africa,2017-3
59797,2010,LC,0,pan-africa,2017-3
59797,2017,LC,0,pan-africa,2017-3
59798,2009,LC,0,pan-africa,2017-3
59798,2016,LC,0,pan-africa,2017-3
59799,2009,LC,0,pan-africa,2017-3
59799,2016,LC,0,pan-africa,2017-3
59802,2006,LC,0,pan-africa,2017-3
59802,2016,LC,0,pan-africa,2017-3
59807,2010,LC,0,pan-africa,2017-3
59807,2016,LC,0,pan-africa,2017-3
59809,2006,LC,0,pan-africa,2017-3
59809,2010,LC,0,pan-africa,2017-3
59814,2006,LC,0,pan-africa,2017-3
59814,2010,LC,0,pan-africa,2017-3
59814,2013,LC,0,pan-africa,2017-3
59816,2006,LC,0,pan-africa,2017-3
59816,2010,LC,0,pan-africa,2017-3
59816,2016,LC,0,pan-africa,2017-3
