iucn_sid,iucn_rgn,years,cat_ts,scores,pop_trend_desc,calc_trend
22698132,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",stable,0
22698136,global,"1994, 2000, 2004, 2008, 2010, 2012, 2015, 2016, 2018","LC, NT, NT, NT, NT, NT, NT, NT, NT","0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",unknown,0.00575
22698140,global,"2000, 2004, 2005, 2008, 2010, 2012, 2015, 2016, 2017, 2018","VU, VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",decreasing,0
22698150,global,"1994, 1996, 2000, 2004, 2005, 2007, 2008, 2010, 2012, 2016, 2018","VU, VU, VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",stable,0
22698155,global,"1994, 1996, 2000, 2004, 2005, 2008, 2010, 2012, 2016, 2017, 2018","VU, VU, VU, VU, VU, VU, VU, VU, VU, EN, EN","0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.6, 0.6",unknown,0.00594
22698159,global,"1994, 2000, 2004, 2008, 2010, 2012, 2016, 2017, 2018","LC, NT, NT, NT, NT, NT, NT, NT, NT","0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,0.00552
22698172,global,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016, 2017, 2018","LC, LC, LC, LC, LC, LC, NT, NT, NT, NT","0, 0, 0, 0, 0, 0, 0.2, 0.2, 0.2, 0.2",decreasing,0.0101
22698175,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",decreasing,0
22698182,global,"1994, 2000, 2004, 2006, 2008, 2010, 2012, 2016, 2018","NT, VU, VU, VU, VU, VU, VU, VU, VU","0.2, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",stable,0.00587
22698188,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2017, 2018","LC, LC, LC, LC, LC, LC, NT, NT, NT","0, 0, 0, 0, 0, 0, 0.2, 0.2, 0.2",decreasing,0.00936
22698195,global,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2010, 2012, 2016, 2017, 2018","VU, VU, VU, VU, VU, VU, VU, VU, VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",unknown,-0
22698201,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",stable,0
22698209,global,"1994, 2000, 2004, 2008, 2010, 2012, 2016, 2018","LC, LC, NT, NT, NT, NT, NT, NT","0, 0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,0.00936
22698216,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2017, 2018","LC, LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0, 0",decreasing,0
22698222,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",stable,0
