iucn_sid,iucn_rgn,pop_trend
133463,global,decreasing
133464,global,unknown
133465,global,unknown
133466,global,decreasing
133467,global,unknown
133468,global,decreasing
133469,global,decreasing
133470,global,unknown
133471,global,decreasing
133472,global,decreasing
133473,global,unknown
133474,global,unknown
133475,global,decreasing
133476,global,unknown
133477,global,unknown
133478,global,unknown
133479,global,decreasing
133480,global,decreasing
133481,global,decreasing
133482,global,unknown
133483,global,decreasing
133484,global,decreasing
133485,global,decreasing
133486,global,unknown
133487,global,unknown
133488,global,unknown
133489,global,decreasing
133490,global,unknown
133491,global,decreasing
133492,global,unknown
133493,global,decreasing
133494,global,decreasing
133495,global,unknown
133496,global,unknown
133497,global,decreasing
133498,global,unknown
133499,global,unknown
133500,global,decreasing
133501,global,unknown
133502,global,unknown
133503,global,unknown
133504,global,stable
133505,global,decreasing
133506,global,decreasing
133507,global,decreasing
133508,global,decreasing
133509,global,unknown
133510,global,decreasing
133511,global,increasing
133512,global,unknown
133513,global,decreasing
133514,global,unknown
133515,global,decreasing
133516,global,decreasing
133517,global,unknown
133518,global,decreasing
133519,global,unknown
133520,global,increasing
133521,global,stable
133522,global,stable
133523,global,unknown
133524,global,decreasing
133525,global,decreasing
133526,global,unknown
133527,global,unknown
133528,global,unknown
133529,global,unknown
133530,global,unknown
133531,global,decreasing
133532,global,decreasing
133533,global,unknown
133534,global,unknown
133535,global,stable
133536,global,stable
