iucn_sid,pop_trend,iucn_version,iucn_rgn
133193,decreasing,2017-3,global
133194,decreasing,2017-3,global
133196,decreasing,2017-3,global
133197,unknown,2017-3,global
133198,unknown,2017-3,global
133200,decreasing,2017-3,global
133201,unknown,2017-3,global
133203,decreasing,2017-3,global
133206,decreasing,2017-3,global
133207,decreasing,2017-3,global
133208,unknown,2017-3,global
133209,decreasing,2017-3,global
133210,decreasing,2017-3,global
133212,stable,2017-3,global
133213,unknown,2017-3,global
133215,unknown,2017-3,global
133216,unknown,2017-3,global
133218,unknown,2017-3,global
133219,unknown,2017-3,global
133220,decreasing,2017-3,global
133222,unknown,2017-3,global
133223,decreasing,2017-3,global
133224,stable,2017-3,global
133225,unknown,2017-3,global
133226,unknown,2017-3,global
133227,decreasing,2017-3,global
133229,decreasing,2017-3,global
133231,decreasing,2017-3,global
133233,decreasing,2017-3,global
133235,unknown,2017-3,global
133236,unknown,2017-3,global
133237,stable,2017-3,global
133238,decreasing,2017-3,global
133239,decreasing,2017-3,global
133240,unknown,2017-3,global
133242,unknown,2017-3,global
133243,decreasing,2017-3,global
133244,decreasing,2017-3,global
133245,decreasing,2017-3,global
133246,unknown,2017-3,global
133247,decreasing,2017-3,global
133248,decreasing,2017-3,global
133250,decreasing,2017-3,global
133251,unknown,2017-3,global
133252,decreasing,2017-3,global
133253,unknown,2017-3,global
133255,stable,2017-3,global
133256,unknown,2017-3,global
133257,stable,2017-3,global
133258,unknown,2017-3,global
133259,decreasing,2017-3,global
133261,unknown,2017-3,global
133262,unknown,2017-3,global
133263,decreasing,2017-3,global
133266,decreasing,2017-3,global
133267,decreasing,2017-3,global
133269,unknown,2017-3,global
133271,decreasing,2017-3,global
133272,unknown,2017-3,global
133277,unknown,2017-3,global
133278,decreasing,2017-3,global
133281,stable,2017-3,global
133283,decreasing,2017-3,global
133284,decreasing,2017-3,global
133288,unknown,2017-3,global
133289,unknown,2017-3,global
133290,decreasing,2017-3,global
133291,decreasing,2017-3,global
133292,decreasing,2017-3,global
133293,decreasing,2017-3,global
133298,decreasing,2017-3,global
133302,decreasing,2017-3,global
133303,decreasing,2017-3,global
133304,unknown,2017-3,global
133306,decreasing,2017-3,global
133307,decreasing,2017-3,global
133308,unknown,2017-3,global
133309,unknown,2017-3,global
133310,decreasing,2017-3,global
133313,decreasing,2017-3,global
133314,decreasing,2017-3,global
133315,decreasing,2017-3,global
133316,unknown,2017-3,global
133317,unknown,2017-3,global
133319,decreasing,2017-3,global
133320,decreasing,2017-3,global
133322,decreasing,2017-3,global
133323,unknown,2017-3,global
133324,decreasing,2017-3,global
133325,decreasing,2017-3,global
133326,unknown,2017-3,global
133327,decreasing,2017-3,global
133329,unknown,2017-3,global
133330,unknown,2017-3,global
133332,unknown,2017-3,global
133333,decreasing,2017-3,global
133337,unknown,2017-3,global
133338,decreasing,2017-3,global
133340,unknown,2017-3,global
133341,decreasing,2017-3,global
133343,decreasing,2017-3,global
133345,decreasing,2017-3,global
133348,decreasing,2017-3,global
133349,unknown,2017-3,global
133351,unknown,2017-3,global
