iucn_sid,sciname,kingdom,phylum,class,order,family,main_common_name,published_year,old_cat,criteria,aoo_km2,eoo_km2,depth_upper,depth_lower,cat,cat_score
161418,Leucoraja erinacea,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Little Skate,2009,NT,NA,NA,NA,NA,90,NT,0.2
161419,Leucoraja garmani,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Rosette Skate,2009,LC,NA,NA,NA,33,530,LC,0
161423,Narcine vermiculatus,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,NARCINIDAE,Vermiculate Electric Ray,2009,NT,NA,NA,NA,0,100,NT,0.2
161425,Raja undulata,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Undulate Skate,2009,EN,A2bd+3d+4bd,NA,NA,1,200,EN,0.6
161426,Chiloscyllium arabicum,ANIMALIA,CHORDATA,CHONDRICHTHYES,ORECTOLOBIFORMES,HEMISCYLLIIDAE,Arabian Carpetshark,2017,NT,NA,NA,NA,2,100,NT,0.2
161428,Electrolux addisoni,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,NARKIDAE,Ornate Sleeper Ray,2009,CR,B2ab(ii),NA,10,NA,50,CR,0.8
161430,Bathyraja lindbergi,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Commander Skate,2015,LC,NA,NA,NA,126,1193,LC,0
161431,Urogymnus granulatus,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,DASYATIDAE,Mangrove Whipray,2016,VU,A2bd,NA,NA,0,85,VU,0.4
161442,Centrophorus lusitanicus,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,CENTROPHORIDAE,Lowfin Gulper Shark,2009,VU,A2bd+4bd,NA,NA,300,1400,VU,0.4
161443,Etmopterus pusillus,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,ETMOPTERIDAE,Smooth Lanternshark,2009,LC,NA,NA,NA,150,1998,LC,0
161444,Bathyraja tzinovskii,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Creamback Skate,2009,LC,NA,NA,NA,1776,2500,LC,0
161449,Scyliorhinus torrei,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Dwarf Catshark,2009,LC,NA,NA,NA,229,550,LC,0
161452,Amblyraja badia,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Broad Skate,2016,LC,NA,NA,NA,846,2324,LC,0
161454,Bathyraja isotrachys,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Raspback Skate,2009,LC,NA,NA,NA,370,2e3,LC,0
161461,Leucoraja fullonica,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Shagreen Skate,2015,VU,A2bd,NA,NA,30,800,VU,0.4
161462,Bathyraja diplotaenia,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Duskypink Skate,2009,LC,NA,NA,NA,100,1e3,LC,0
