am_sid,area_km2_0pct,area_km2_60pct,area_km2_probwt
ITS-552062,23933164.89,11437771.96,12926782.420500001
ITS-552838,419797.02,200598.24,227561.4762
ITS-552848,60996.79,16102.36,22998.3054
ITS-552849,279519.92,204492.01,213980.2349
ITS-552860,748371.61,606122.62,627108.9587
ITS-552889,250195.39,57829.78,96275.9394
ITS-552897,4725642.7,2605918.4,2832315.7966
ITS-552906,1513194.05,1301134.82,1310738.3724
ITS-552914,12025948.01,5036688.74,6209477.0467
ITS-552915,231734,136565.91999999998,164937.7543
ITS-552916,5390062.04,4135589.92,4188302.4251
ITS-552917,2047036.8800000001,1604863.73,1666517.4958
ITS-552919,2325495.91,1978430.93,2016284.0133
ITS-552921,316979.9,182537.36,205885.80789999999
