iucn_sid,sciname,main_common_name,cat,cat_score,published_year,iucn_version
2637,Batillaria mutata,NA,DD,NA,1996,2018-1
2811,Birgus latro,Coconut Crab,DD,NA,1996,2018-1
2895,Bostrychus zonatus,Sunset Gudgeon,DD,NA,2012,2018-1
2958,Brachionichthys hirsutus,Spotted Handfish,CR,0.8,1996,2018-1
3381,Butis butis,Crimson-tipped Gudgeon,LC,0,2017,2018-1
3565,Callionymus sanctaehelenae,St Helena Dragonet,CR,0.8,1996,2018-1
3856,Carcinoscorpius rotundicauda,Horseshoe Crabs,DD,NA,1996,2018-1
4159,Cephalorhynchus commersonii,Commerson's Dolphin,LC,0,2017,2018-1
4592,Cheilinus undulatus,Humphead Wrasse,EN,0.6,2004,2018-1
5119,Collisella edmitchelli,NA,EX,1,1996,2018-1
5216,Conacmella vagans,NA,DD,NA,1996,2018-1
5271,Conus kohni,NA,DD,NA,1996,2018-1
5362,Coregonus artedi,Cisco,LC,0,1996,2018-1
5486,Crassispira sacerdotalis,NA,DD,NA,1996,2018-1
5675,Croilia mossambica,Burrowing Goby,LC,0,2007,2018-1
6069,Cymatium parthenopaeum,NA,LC,0,2e3,2018-1
6202,Cysticus gutta,NA,DD,NA,1996,2018-1
6203,Cysticus josephinae,NA,DD,NA,1996,2018-1
6814,Dunckerocampus dactyliophorus,Banded Pipefish,DD,NA,2016,2018-1
7011,Echinus esculentus,European Edible Sea Urchin,NT,0.2,1996,2018-1
7035,Edwardsia ivelli,Ivell's Sea Anemone,DD,NA,1996,2018-1
7134,Eleotris sandwicensis,Hawaii Spinecheek Gudgeon,DD,NA,2013,2018-1
7135,Eleotris melanosoma,Broadhead Sleeper,LC,0,2017,2018-1
8012,Erignathus barbatus ssp. barbatus,Atlantic Bearded Seal,LC,0,2016,2018-1
