iucn_sid,pop_trend,year,old_cat,cat_txt,param_id,api_error,cat_ts,cat_score,cat_ts_score,trend_score
190247,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190250,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190252,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190253,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190255,unknown,2016,LC,Least Concern,NA,NA,LC,0,0,NA
190257,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190258,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190261,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190262,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190263,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190264,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190265,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190269,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190275,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190276,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190278,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190279,decreasing,2015,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
190281,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190282,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190283,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190285,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190286,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190287,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190292,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190295,decreasing,2016,LC,Least Concern,NA,NA,LC,0,0,-0.5
190296,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190297,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190298,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
