iucn_sid,sciname,category,subpop_match,dbf_file
179010,Clinoporus biporosus,LC,FALSE,COMBTOOTHBLENNIES.dbf
179010,Clinoporus biporosus,LC,FALSE,MARINEFISH_PART_2.dbf
179012,Helcogramma capidata,LC,FALSE,COMBTOOTHBLENNIES.dbf
179012,Helcogramma capidata,LC,FALSE,MARINEFISH_PART_3.dbf
179013,Enneapterygius elaine,LC,FALSE,COMBTOOTHBLENNIES.dbf
179013,Enneapterygius elaine,LC,FALSE,MARINEFISH_PART_1.dbf
179014,Forsterygion varium,LC,FALSE,COMBTOOTHBLENNIES.dbf
179014,Forsterygion varium,LC,FALSE,MARINEFISH_PART_2.dbf
179015,Heterostichus rostratus,LC,FALSE,COMBTOOTHBLENNIES.dbf
179015,Heterostichus rostratus,LC,FALSE,MARINEFISH_PART_3.dbf
179016,Pavoclinus graminis,LC,FALSE,COMBTOOTHBLENNIES.dbf
179016,Pavoclinus graminis,LC,FALSE,MARINEFISH_PART_3.dbf
179017,Enneapterygius rhothion,LC,FALSE,COMBTOOTHBLENNIES.dbf
179017,Enneapterygius rhothion,LC,FALSE,MARINEFISH_PART_1.dbf
179018,Helcogramma maldivensis,DD,FALSE,COMBTOOTHBLENNIES.dbf
179018,Helcogramma maldivensis,DD,FALSE,MARINEFISH_PART_1.dbf
179019,Enneapterygius larsonae,LC,FALSE,COMBTOOTHBLENNIES.dbf
179019,Enneapterygius larsonae,LC,FALSE,MARINEFISH_PART_2.dbf
179020,Helcogramma steinitzi,LC,FALSE,COMBTOOTHBLENNIES.dbf
179020,Helcogramma steinitzi,LC,FALSE,MARINEFISH_PART_1.dbf
179021,Acanthanectes hystrix,LC,FALSE,COMBTOOTHBLENNIES.dbf
179021,Acanthanectes hystrix,LC,FALSE,MARINEFISH_PART_3.dbf
179022,Forsterygion gymnota,LC,FALSE,COMBTOOTHBLENNIES.dbf
179022,Forsterygion gymnota,LC,FALSE,MARINEFISH_PART_2.dbf
179023,Ribeiroclinus eigenmanni,LC,FALSE,COMBTOOTHBLENNIES.dbf
179023,Ribeiroclinus eigenmanni,LC,FALSE,MARINEFISH_PART_1.dbf
179024,Trinorfolkia clarkei,LC,FALSE,COMBTOOTHBLENNIES.dbf
179024,Trinorfolkia clarkei,LC,FALSE,MARINEFISH_PART_2.dbf
179025,Ophiclinus pectoralis,LC,FALSE,COMBTOOTHBLENNIES.dbf
179025,Ophiclinus pectoralis,LC,FALSE,MARINEFISH_PART_1.dbf
179026,Blennodon dorsale,LC,FALSE,COMBTOOTHBLENNIES.dbf
179026,Blennodon dorsale,LC,FALSE,MARINEFISH_PART_3.dbf
179027,Ophiclinops varius,LC,FALSE,COMBTOOTHBLENNIES.dbf
179027,Ophiclinops varius,LC,FALSE,MARINEFISH_PART_2.dbf
179028,Myxodes cristatus,LC,FALSE,COMBTOOTHBLENNIES.dbf
179028,Myxodes cristatus,LC,FALSE,MARINEFISH_PART_3.dbf
179029,Karalepis stewarti,LC,FALSE,COMBTOOTHBLENNIES.dbf
179029,Karalepis stewarti,LC,FALSE,MARINEFISH_PART_2.dbf
179031,Helcogramma microstigma,LC,FALSE,COMBTOOTHBLENNIES.dbf
179031,Helcogramma microstigma,LC,FALSE,MARINEFISH_PART_3.dbf
179032,Sticharium clarkae,LC,FALSE,COMBTOOTHBLENNIES.dbf
179032,Sticharium clarkae,LC,FALSE,MARINEFISH_PART_1.dbf
179033,Helcogramma ememes,LC,FALSE,COMBTOOTHBLENNIES.dbf
179033,Helcogramma ememes,LC,FALSE,MARINEFISH_PART_2.dbf
179034,Tripterygion tartessicum,LC,FALSE,COMBTOOTHBLENNIES.dbf
179034,Tripterygion tartessicum,LC,FALSE,MARINEFISH_PART_1.dbf
179035,Ceratobregma acanthops,LC,FALSE,COMBTOOTHBLENNIES.dbf
179035,Ceratobregma acanthops,LC,FALSE,MARINEFISH_PART_2.dbf
179036,Ophiclinus gracilis,LC,FALSE,COMBTOOTHBLENNIES.dbf
179036,Ophiclinus gracilis,LC,FALSE,MARINEFISH_PART_3.dbf
179037,Enneapterygius mirabilis,LC,FALSE,COMBTOOTHBLENNIES.dbf
179037,Enneapterygius mirabilis,LC,FALSE,MARINEFISH_PART_1.dbf
179038,Helcogramma rosea,LC,FALSE,COMBTOOTHBLENNIES.dbf
179038,Helcogramma rosea,LC,FALSE,MARINEFISH_PART_2.dbf
179039,Brachynectes fasciatus,LC,FALSE,COMBTOOTHBLENNIES.dbf
179039,Brachynectes fasciatus,LC,FALSE,MARINEFISH_PART_3.dbf
179040,Helcogramma nigra,LC,FALSE,COMBTOOTHBLENNIES.dbf
179040,Helcogramma nigra,LC,FALSE,MARINEFISH_PART_1.dbf
179041,Blennioclinus stella,LC,FALSE,COMBTOOTHBLENNIES.dbf
179041,Blennioclinus stella,LC,FALSE,MARINEFISH_PART_3.dbf
179042,Cristiceps australis,LC,FALSE,COMBTOOTHBLENNIES.dbf
